provision_id,source_type,part_chapter,article_section,title,verbatim_text_excerpt,simplified_explanation,keywords,landmark_case_1,lc1_year,lc1_holding_summary,landmark_case_2,lc2_year,lc2_holding_summary,upsc_relevance,category,enforcement_year,nodal_ministry,legal_classification,punishment_quantum,exceptions_and_limitations,cross_references,bench_strength,current_precedent_status,primary_source_url,current_law_mapping,row_status
IND-011,Constitution,Part III - Fundamental Rights,Article 19,Protection of certain rights regarding freedom of speech,All citizens shall have the right to freedom of speech and expression; to assemble peaceably and without arms; to form associations or unions; to move freely throughout the territory of India; to reside and settle in any part of India; and to practise any profession,"Article 19 guarantees 6 freedoms (originally 7) to citizens only. Freedom of speech includes press freedom, right to information, commercial speech, and right to silence. Each freedom has reasonable restrictions under Clauses 2-6 such as sovereignty, public order, morality, and security.","Freedom of Speech,Press Freedom,Assembly,Association,Movement,Profession,Reasonable Restrictions",Romesh Thappar v. State of Madras,1950.0,Freedom of speech and press is the foundation of democratic governance,Shreya Singhal v. Union of India,2015.0,Section 66A IT Act struck down as unconstitutional for violating free speech,High,Fundamental Rights - Right to Freedom,1950,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-012,Constitution,Part III - Fundamental Rights,Article 21,Protection of life and personal liberty,No person shall be deprived of his life or personal liberty except according to procedure established by law,"The most expansive Fundamental Right. 'Life' means much more than mere animal existence — it includes the right to livelihood, education, health, privacy, dignity, clean environment, speedy trial, legal aid, and many more. The procedure must be fair, just, and reasonable (not merely any procedure prescribed by law).","Right to Life,Personal Liberty,Due Process,Dignity,Privacy,Livelihood,Health",Maneka Gandhi v. Union of India,1978.0,"Procedure under Article 21 must be fair, just and reasonable; not arbitrary or oppressive",K.S. Puttaswamy v. Union of India,2017.0,Right to Privacy is a Fundamental Right under Article 21,High,Fundamental Rights - Right to Life,1978,"Ministry of Environment, Forest and Climate Change",Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-013,Constitution,Part III - Fundamental Rights,Article 21A,Right to Education,"The State shall provide free and compulsory education to all children of the age of six to fourteen years in such manner as the State may, by law, determine",Inserted by 86th Constitutional Amendment 2002. Makes education a Fundamental Right for children aged 6-14. The Right to Education Act 2009 operationalises this right mandating 25% seats for disadvantaged children in private schools.,"Right to Education,RTE Act,86th Amendment,Children,Free Education,Compulsory Education",Society for Unaided Private Schools of Rajasthan v. Union of India,2012.0,RTE Act 25% reservation for disadvantaged children in private schools is constitutional,Ashok Kumar Thakur v. Union of India,2008.0,"Right to education must be real and effective, not illusory",High,Fundamental Rights - Right to Education,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-014,Constitution,Part III - Fundamental Rights,Article 22,Protection against arrest and detention,"No person who is arrested shall be detained in custody without being informed, as soon as may be, of the grounds for such arrest nor shall he be denied the right to consult, and to be defended by, a legal practitioner of his choice","Every arrested person has the right to be informed of grounds of arrest, consult a lawyer, and be produced before a magistrate within 24 hours. Preventive detention laws are an exception to these safeguards but have their own constitutional safeguards (maximum 3 months without Advisory Board approval).","Arrest,Detention,Magistrate,24 Hours,Legal Aid,Preventive Detention",D.K. Basu v. State of West Bengal,1997.0,Laid down detailed guidelines for arrest to prevent custodial violence,A.K. Gopalan v. State of Madras,1950.0,Preventive detention under law satisfying Article 22 safeguards is valid,High,Fundamental Rights - Right against Exploitation,1997,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-015,Constitution,Part III - Fundamental Rights,Article 23,Prohibition of traffic in human beings and forced labour,Traffic in human beings and begar and other similar forms of forced labour are prohibited and any contravention of this provision shall be an offence punishable in accordance with law,"Human trafficking, begar (forced labour without payment), and bonded labour are constitutionally prohibited. Enforceable against private individuals too. The Bonded Labour System (Abolition) Act 1976 and Immoral Traffic (Prevention) Act 1956 operationalise this article.","Human Trafficking,Begar,Forced Labour,Bonded Labour,Exploitation",People's Union for Democratic Rights v. Union of India,1982.0,Payment below minimum wage constitutes forced labour under Article 23,Bandhua Mukti Morcha v. Union of India,1984.0,State has affirmative obligation to identify and release bonded labourers,High,Fundamental Rights - Right against Exploitation,1976,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-016,Constitution,Part III - Fundamental Rights,Article 24,Prohibition of employment of children in factories,No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment,"Children below 14 cannot be employed in factories, mines, or hazardous work. The Child Labour (Prohibition and Regulation) Amendment Act 2016 extended this to prohibit employment in all occupations for children below 14 and in hazardous occupations for children aged 14-18.","Child Labour,Factory,Mine,Hazardous Employment,Children Rights",M.C. Mehta v. State of Tamil Nadu,1996.0,Directions for rehabilitation of child labour and compulsory education,Bandhua Mukti Morcha v. Union of India,1984.0,"Child labour is violative of Articles 24, 39(e), and 39(f)",High,Fundamental Rights - Right against Exploitation,2016,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-017,Constitution,Part III - Fundamental Rights,Article 25,Freedom of conscience and free profession of religion,"Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practise and propagate religion","Every person has the right to freely hold, practice, and propagate their religion. However, the state can regulate secular activities associated with religion, provide for social welfare, and reform Hindu institutions. The right to propagate does not include the right to convert by force or fraud.","Religion,Conscience,Propagation,Secular Activities,Religious Freedom",Stanislaus v. State of Madhya Pradesh,1977.0,Right to propagate religion does not include right to forcible or fraudulent conversion,Shirur Mutt Case (Commissioner v. LT Swamiar),1954.0,Religion includes practices and rituals integral to religion; state cannot interfere with essential religious practices,High,Fundamental Rights - Right to Freedom of Religion,1977,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,"Subject to public order, morality, health, and the other Fundamental Rights.",Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-018,Constitution,Part III - Fundamental Rights,Article 26,Freedom to manage religious affairs,"Subject to public order, morality and health, every religious denomination or any section thereof shall have the right to establish and maintain institutions for religious and charitable purposes; to manage its own affairs in matters of religion","Every religious denomination can establish and manage its own religious institutions, manage religious affairs, own property, and administer it. But the State can regulate the secular activities of a religious institution.","Religious Denomination,Manage Affairs,Property,Administration",Shirur Mutt Case,1954.0,Religious denomination can manage its own affairs; state cannot interfere in essentially religious matters,Durgah Committee Ajmer v. Syed Hussain Ali,1961.0,Only essential religious practices are protected; mere superstitious practices are not,High,Fundamental Rights - Right to Freedom of Religion,1954,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-019,Constitution,Part III - Fundamental Rights,Article 29,Protection of interests of minorities,"Any section of the citizens residing in the territory of India or any part thereof having a distinct language, script or culture of its own shall have the right to conserve the same","Any section of citizens with a distinct language, script, or culture can conserve it. No citizen can be denied admission to state-funded educational institutions on grounds of religion, race, caste, or language.","Minority,Language,Script,Culture,Conservation",T.M.A. Pai Foundation v. State of Karnataka,2002.0,Broad interpretation of minority rights; linguistic minorities also protected,State of Madras v. Champakam Dorairajan,1951.0,Led to First Constitutional Amendment adding Clause 4 to Article 15 for reservations in education,High,Fundamental Rights - Cultural and Educational Rights,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-020,Constitution,Part III - Fundamental Rights,Article 30,Right of minorities to establish educational institutions,"All minorities, whether based on religion or language, shall have the right to establish and maintain educational institutions of their choice","Religious and linguistic minorities can establish and administer their own educational institutions. The State cannot discriminate against minority institutions in granting aid. However, the State can impose reasonable regulations for ensuring educational standards.","Minority Educational Institutions,Religion,Language,Establish,Administer",T.M.A. Pai Foundation v. State of Karnataka,2002.0,National level minority status for religious minorities; state level for linguistic minorities; reasonable regulation permitted,P.A. Inamdar v. State of Maharashtra,2005.0,Minority institutions have right to admit students of their choice but must follow merit and transparency,High,Fundamental Rights - Cultural and Educational Rights,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-021,Constitution,Part III - Fundamental Rights,Article 32,Right to Constitutional Remedies,The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed,"Called the 'heart and soul' of the Constitution by Dr. Ambedkar. Every person can directly approach the Supreme Court if their Fundamental Rights are violated. The Supreme Court can issue writs — Habeas Corpus, Mandamus, Prohibition, Certiorari, and Quo Warranto.","Habeas Corpus,Mandamus,Prohibition,Certiorari,Quo Warranto,Supreme Court,Writ Jurisdiction",Romesh Thappar v. State of Madras,1950.0,Article 32 is the cornerstone of the Constitution and cannot be abrogated even by emergency,ADM Jabalpur v. Shivkant Shukla,1976.0,(Controversial) Right to move court suspended during emergency; later overruled by KS Puttaswamy,High,Fundamental Rights - Right to Constitutional Remedies,1950,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-022,Constitution,Part IV - Directive Principles,Article 36-51,Directive Principles of State Policy - Overview,"The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws","DPSPs are non-justiciable guidelines to the State for governance. They aim to establish a welfare state. They can be classified into Socialistic (Articles 38, 39, 41, 42, 43, 47), Gandhian (Articles 40, 43, 43B, 46, 47, 48), and Liberal-Intellectual (Articles 44, 45, 48A, 49, 50, 51) categories.","DPSP,Welfare State,Non-Justiciable,Socialistic,Gandhian,Liberal",Minerva Mills v. Union of India,1980.0,Harmony between Fundamental Rights and DPSPs is part of the basic structure,State of Kerala v. N.M. Thomas,1976.0,DPSPs can be used to determine reasonableness of restrictions on Fundamental Rights,High,Directive Principles,1980,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-023,Constitution,Part IV - Directive Principles,Article 39,Certain principles of policy to be followed by State,"The State shall, in particular, direct its policy towards securing that the citizens, men and women equally, have the right to an adequate means of livelihood; that the ownership and control of the material resources of the community are so distributed as best to subserve the common good","Key DPSP covering equal pay for equal work (Article 39(d)), equal right to livelihood, child protection from abuse (Article 39(e) & (f)), and equitable distribution of resources. Article 39B and 39C deal with distribution of material resources to prevent concentration of wealth.","Equal Pay,Livelihood,Material Resources,Child Protection,Wealth Distribution",Air India v. Nargesh Meerza,1981.0,Equal pay for equal work is a constitutional goal enforceable in service matters,State of Rajasthan v. Vidhyawati,1962.0,DPSPs must guide state policy in economic and social fields,High,Directive Principles,1981,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-024,Constitution,Part IV - Directive Principles,Article 44,Uniform Civil Code,The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India,"A directive to the State to enact a common civil law (marriage, divorce, inheritance) applicable to all citizens regardless of religion. Currently different personal laws apply to different religious communities. Goa has a common civil code. The UCC debate involves balancing national unity with religious freedom.","Uniform Civil Code,UCC,Personal Law,Secularism,Gender Justice",Mohd. Ahmed Khan v. Shah Bano Begum,1985.0,Urged Parliament to enact UCC; Muslim women's right to maintenance highlighted,Sarla Mudgal v. Union of India,1995.0,Conversion to Islam for second marriage without divorce is void; UCC needed,High,Directive Principles,1985,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-025,Constitution,Part IV - Directive Principles,Article 48A,Protection and improvement of environment,The State shall endeavour to protect and improve the environment and to safeguard the forests and wild life of the country,"Inserted by 42nd Amendment 1976. Imposes duty on the State to protect the environment, forests, and wildlife. This article along with Article 51A(g) (citizens' duty to protect environment) forms the constitutional basis for environmental jurisprudence in India.","Environment,Forest,Wildlife,42nd Amendment,Ecological Balance",M.C. Mehta v. Union of India (Ganga Pollution),1988.0,Polluter Pays Principle and right to clean environment derived from Articles 21 and 48A,Vellore Citizens Welfare Forum v. Union of India,1996.0,Precautionary Principle and Sustainable Development are part of environmental law,High,Directive Principles - Environment,1976,"Ministry of Environment, Forest and Climate Change",Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-026,Constitution,Part IVA - Fundamental Duties,Article 51A,Fundamental Duties,"It shall be the duty of every citizen of India to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem; to cherish and follow the noble ideals which inspired our national struggle for freedom...","Added by 42nd Amendment 1976 on Swaran Singh Committee recommendations. Originally 10 duties, 11th added by 86th Amendment 2002 (duty of parents to provide education to children aged 6-14). Non-justiciable but courts use them to uphold laws and determine reasonableness of restrictions.","Fundamental Duties,42nd Amendment,Swaran Singh Committee,Non-Justiciable,Citizens Duty",Bijoe Emmanuel v. State of Kerala,1986.0,Fundamental Duties cannot be enforced to compel citizens to sing national anthem,AIIMS Students' Union v. AIIMS,2001.0,Fundamental Duties can be used to resolve conflicts between competing rights,High,Fundamental Duties,1976,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-027,Constitution,Part V - The Union,Article 52,The President of India,There shall be a President of India,The President is the constitutional head of India and the first citizen. All executive powers are formally vested in the President but are exercised on the aid and advice of the Council of Ministers headed by the Prime Minister. The President acts as a constitutional figurehead in India's parliamentary democracy.,"President,Constitutional Head,Executive Power,Parliamentary Democracy",Ram Jawaya Kapur v. State of Punjab,1955.0,Executive powers of the Union are vested in the President but exercised through Council of Ministers,Shamsher Singh v. State of Punjab,1974.0,President must act on the advice of the Council of Ministers in all matters,High,Union Executive,1955,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-028,Constitution,Part V - The Union,Article 72,Pardoning Powers of President,"The President shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence in all cases where the punishment or sentence is a punishment or sentence of death","The President can pardon (completely absolve), commute (reduce severity), reprieve (postpone), or remit (reduce period of) punishment. This power is exercised on the advice of the Council of Ministers. It extends to death sentences, court martial sentences, and offences against Union laws.","Pardon,Reprieve,Remission,Commutation,Death Sentence,Mercy Petition",Epuru Sudhakar v. Govt of AP,2006.0,"Pardoning power is subject to judicial review if exercised arbitrarily, mala fide or without application of mind",Maru Ram v. Union of India,1980.0,President must act on Council of Ministers' advice in pardoning; power is not absolute,High,Union Executive,2006,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-029,Constitution,Part V - The Union,Article 74,Council of Ministers to aid and advise President,"There shall be a Council of Ministers with the Prime Minister at the head to aid and advise the President who shall, in the exercise of his functions, act in accordance with such advice: Provided that the President may require the Council of Ministers to reconsider such advice and the President shall act in accordance with the advice tendered after such reconsideration","The Council of Ministers headed by the PM is the real executive. The President must act on their advice. By 44th Amendment, the President can return the advice once for reconsideration but must accept the reconsidered advice. This establishes Cabinet government and collective responsibility.","Council of Ministers,Prime Minister,Aid and Advice,44th Amendment,Cabinet Responsibility",U.N.R. Rao v. Indira Gandhi,1971.0,Council of Ministers can continue in office in caretaker capacity after dissolution of Lok Sabha,S.R. Bommai v. Union of India,1994.0,Floor of the House is the only place to test majority; President cannot act on subjective satisfaction without objective material,High,Union Executive,1971,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
